h3_titles,span_texts
Фицо рассказал об отношении Зеленского к транзиту газа через Украину в 2025 году,Лента добра
В США нашли способ завершить конфликт на Украине,
Татьяне Ким не удалось взыскать десятки миллиардов рублей с Бакальчука, В оккупированной Судже остаются три тысячи беженцев. Что сейчас происходит в городе?
Два крокодила растерзали и съели молодого человека в знаменитом национальном парке," Как бандит из Петербурга 1990-х устроил себе красивую жизнь на Карибах, угоняя яхты на заказ?"
В России предложили новый способ борьбы с мошенниками, Как SpaceX в 2024 году отправила миссию к Юпитеру и запустила самую мощную ракету в мире
Развеян популярный миф о грудных имплантах, Как пережить предновогодний коллапс и не выдохнуться?
В палате представителей не одобрили проект временного бюджета США, Почему от него остались только кости и что говорят его родственники?
В Ливии отвергли идею о переброске российских военных в страну," Битва за Курскую область, «Орешник» и инфляция: главные заявления Путина на прямой линии"
Эндокринолог рассказала об опасности обезжиренных продуктов," Как всесильный глава МВД СССР мог стать легендой, но пал жертвой алчности и вражды с КГБ"
В Словакии заявили о поражении Украины в конфликте с Россией, Как Поклонская из символа Русской весны и защитницы царя превратилась в «колдунью»
В России появился ГОСТ на подарок для новорожденных, Мужчина очнулся после комы и описал свои невероятные ощущения. Что он запомнил?
Россияне назвали самые желанные новогодние подарки," Ельцин отправлял в Чечню срочников, они сотнями попадали в плен. Что они пережили?"
Apple попросит помощи в Китае у создателя TikTok, Почему пал режим Башара Асада и как события в Сирии изменят ситуацию на Ближнем Востоке?
Парень сделал пугающее открытие после визита сантехника к нему домой, Башар Асад правил Сирией 24 года. Почему он не смог удержать власть?
Рогов сообщил о дезертирстве украинских военных в Курахово, Почему сирийцы рады свержению Асада и что они думают о захвативших власть повстанцах?
Духовное управление мусульман России разрешило религиозное многоженство, Как 19-летний россиянин стал самым молодым пожизненно осужденным в стране?
Глава Минюста Украины заявила о масштабной кибератаке на госреестры, В России судят членов «Черной армии». Как они держали в страхе целый регион?
Фон дер Ляйен сравнила поставки оружия Украине из Евросоюза и США," Лужков правил Москвой, сносил дома и боролся с геями. Почему он проиграл в битве за власть?"
Орбан предлагал России и Украине обменять сотни пленных, Что они значат и связаны ли с ядерной войной?
В МВФ перечислили основные факторы роста российской экономики, Секретные документы о полете Гагарина скрывали долгие годы. Почему в его успехе сомневались?
Расправившегося с матерью двоих детей наемника арестовали через 32 года," Путин подтвердил, что Россия больше не будет поставлять газ в Европу через Украину"
Путин предложил устроить в Киеве дуэль «Орешника» и западных систем ПВО. Зеленский ответил оскорблением, За это время ее отец покончил с собой. Что стоит за трагедией?
ВСУ атаковали российскую территорию во время прямой линии с Путиным. Президент обещал приграничью помощь, Украина готовит «удар последней надежды». Где его стоит ожидать и насколько он будет опасен?
"«Мы переживем». Путин подтвердил, что Россия больше не будет поставлять газ в Европу через Украину", Он был самым успешным полководцем Второй мировой войны. Как Жуков стал маршалом Победы?
"Путин разъяснил ситуацию с замедлением YouTube. Он напомнил, как Google может все исправить", С чего начать?
Путин назвал условие для начала переговоров с Зеленским. Что требуется от президента Украины?,ПАО Сбербанк. ИНН 7707083893erid: 2RanykzVpYH
Путин поспорил с журналистом американского канала насчет поражения России в Сирии. Что он сказал о свержении Асада?, Что известно о расследовании убийства высокопоставленного генерала армии России?
"«Мы туда ударим ""Орешником""». Путин раскрыл последствия поставки Киеву американских систем ПВО THAAD", Как на Западе оправдывают подрыв генерала Кириллова?
Абхазский депутат скончался в результате стрельбы," «Джокер: Безумие на двоих», «Мемуары улитки» и еще 18 ярких и оригинальных картин"
Бывшего заместителя Шойгу подозревают в создании ОПГ. Какие детали появились в громком деле о коррупции?, Правда ли это?
"Из-за просмотра видео в соцсетях «гниет» мозг, утверждают ученые. Правда ли это?"," Правда ли, что россияне обожают Сталина, утопившего страну в крови?"
Встречают россиян аплодисментами и знают русские песни. Из России запустили поезда в Северную Корею. Зачем туда ехать?, Главные скандалы 2024 года из мира самых красивых
«Самая миллиардерская вещь на свете». Цукерберг дарит жене странные подарки. Как они выглядят и сколько стоят?, Как российской семье удалось накопить на кэшбеке: личный опыт
Американец убил страховщика-миллионера и стал национальным героем США. Как это не на шутку напугало власти?,"Публичное Акционерное Общество Банк ВТБ
ИНН 7702070139erid: 2RanymCMPK7"
В России распространяется новая схема мошенничества с банковскими картами. Что известно и как себя обезопасить?, Почему на него стоит обратить внимание?
"Таинственные огромные кошки бродят по Британии. Почему ученые утверждают, что их не существует?", Он обвинял Пентагон в создании биологического оружия на Украине
"«На седьмом небе от счастья, что имеет такого жениха». Иностранки в восторге от русских мужчин. Чем они поражают женщин?", Как Пятый канал покорил молодую аудиторию?
"Два развода, погибший брат и родственник Михалкова. Ивлеева внезапно вышла замуж. Кто ее муж и почему о нем все говорят?",АО «Телерадиокомпания «Петербург». ИНН 7825404448erid: 2Ranyn7asuB
Российский актер признан самым стильным человеком планеты. Кто такой Марк Эйдельштейн и как он стремительно покорил мир?, Что изменилось на фронтах СВО и чем это грозит Украине?
"Раскрыто самое загадочное преступление XX века. Кем оказался авиаугонщик, растворившийся в небе с 200 тысячами долларов?",Новые материалы
Нехватку рабочей силы на российских стройках оценили,
Задорнов назвал россиянам самый доходный способ вложения одного миллиона рублей,
В США обратились к Зеленскому после заявления Путина,
Волонтер рассказала о спасении изможденных срочников в болотах Курской области,
Орбан раскрыл детали своей мирной инициативы по Украине,
Зеленский снова нахамил Орбану,
В МИД заявили о намерении добиваться от США возвращения дипсобственности,
В США заявили о возможном вето Венгрии на санкции против России,
Директора школы уволили из-за занимавшейся сексом с тремя школьниками ученицы,
Девушка увидела подарок жениха-миллионера его матери и расстроилась,
На Украине скрыли информацию о состоянии энергосистемы,
Находящимся в СИЗО осужденным разрешили длительные свидания,
В Нью-Йорке пресекли попытку теракта против консульства Израиля,
Пленный украинец раскрыл приказ для ВСУ в отношении жителей Курской области,
США продолжат выделять помощь Киеву до инаугурации Трампа,
Трамп оценил решение о финансировании правительства,
Путин призвал обеспечить прикрытие предприятий ОПК,
На Западе встал вопрос о российских журналистах после прямой линии с Путиным,
Невестка Виктории Бекхэм снялась топлес для модного журнала,
Евросоюз потратил на Украину 130 миллиардов евро,
На Западе рассказали о недипломатических действиях Каллас в отношении России,
США допустили усиление боеготовности ядерных сил из-за России,
Путин высказался о разжигании национальной розни,
Счастливчик выиграл 14 миллиардов рублей в лотерею и заскучал,
Названо число находящихся в оккупации в Судже мирных жителей,
В Дании посоветовали Украине отказаться от территорий ради мира,
Путин призвал активно бороться с любыми проявлениями коррупции,
В игре S.T.A.L.K.E.R. 2 нашли тысячи ошибок,
В российском городе несколько человек погибли в пункте сбора на СВО,
Лидеры ЕС поручили Еврокомиссии рассмотреть помощь Молдавии в энергетике,
Стал известен предполагаемый убийца модели Савицкой,
Волонтер спас беременную женщину и двух детей в Курской области,
В США заявили о продолжении использования F-35 вопреки критике в адрес истребителя,
Симоньян рассказала о возможном отношении Запада к итогам спецоперации на Украине,
Число находящихся в Сирии американских военных раскрыли,
Усик и Фьюри устроили 11-минутную дуэль взглядов,
Ученые назвали способ усилить эффект кофе,
В Тбилиси митингующие перекрыли проспект Руставели,
Симоньян оценила ответ Путина о помиловании сына Байдена,
Сийярто заявил о начале кампании Украины против Венгрии,
В офисе музыкального издательства «Джем» прошли обыски,
Трюдо проведет перестановки в правительстве Канады,
Минтранс заявил о возможности размещения детей рядом с родителями в самолетах,
В Белом доме признали наличие возможности у России для ядерного удара по США,
В Минобороны Финляндии заявили о подготовке страны к продолжительным войнам,
Шольц обсудил с Трампом кризис на Украине,
В Белом доме заявили о готовности пересмотреть ядерные развертывания,
Тренер «Вашингтона» рассказал о сроках восстановления Овечкина,
В ООН не стали комментировать отказ Украины от транзита российского газа,
ЦСКА победил «Спартак» в матче КХЛ,
Зеленский второй раз за день оскорбил Путина,
В Венгрии назвали санкции США против Газпромбанка политической местью,
Стоимость музыкального рынка в России оценили,
АТОР назвала самые популярные у российских туристов страны,
Украинка с «самыми большими щеками в мире» примерила откровенное свадебное платье,
Путин сообщил о постоянном контакте с Володиным,
Украинские военкомы попытались поджечь машину с призывником,
США сделали исключения из санкций против Газпромбанка для Венгрии,
Швейцария выдвинула кандидатуру на пост председателя ОБСЕ,
ФСБ и спецслужбы занялись поиском соучастников убийства генерала Кириллова,
Володин подчеркнул важность защиты суверенитета России,
Голый мужчина ворвался в чужой дом и стал пить воду из унитаза,
Пожаловавшейся Путину пенсионерке выдали необходимые лекарства,
